tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.133385;0.903008;-8.02509e-05;0.41;439;27.5609;3;3.6776;0
0.125903;1.16967;8.1574e-05;0.41;1;42.0314;3;3.1113;0
0.0745099;0.905292;-3.54929e-05;0.41;1;42.0378;3;3.2054;0
0.081956;0.905941;8.54138e-05;0.41;983;34.9918;3;3.2054;0
0.121421;1.15846;1.11627e-05;0.41;1;46.1662;3;3.0628;0
0.146772;0.897314;3.47736e-05;0.41;1;46.1386;3;3.1811;0
0.0796777;1.57974;9.31156e-05;0.41;983;34.9484;3;3.1811;0
0.184334;1.44246;-5.22611e-05;0.41;1;45.3831;3;3.1039;0
0.146831;1.78602;4.93372e-05;0.41;1;45.2157;3;3.2367;0
0.149531;1.20262;-6.71809e-05;0.41;749;31.617;3;3.2367;0
0.159267;1.00477;-5.81877e-05;0.41;1;37.0409;3;3.3144;0
0.107458;2.08755;-4.64752e-05;0.41;1;35.0256;3;3.3614;0
0.155771;1.48915;7.51147e-05;0.41;972;33.9154;3;3.3614;0
0.205145;1.98613;-9.37413e-05;0.41;1;42.2563;3;3.2771;0
0.175258;2.36794;-9.00361e-05;0.41;1;42.2867;3;3.3585;0
0.196836;1.80447;5.13945e-05;0.41;755;30.9483;3;3.3585;0
0.179329;1.58576;6.67726e-05;0.41;920;34.769;3;3.0142;0
0.17476;2.10914;7.61593e-05;0.41;1;43.4416;3;3.0994;0
0.193774;2.18919;9.64155e-05;0.41;1;43.2385;3;3.2554;0
0.0947559;1.50686;5.52203e-05;0.41;802;36.1619;3;3.2554;0
0.199201;1.80964;-1.75724e-05;0.41;1;44.5051;3;3.0956;0
0.142933;1.67095;5.77687e-05;0.41;1;44.4821;3;3.1748;0
0.0893975;1.46004;-8.02868e-05;0.41;885;35.3113;3;3.1748;0
0.205458;0.682329;-6.50903e-05;0.41;1;45.8408;3;3.0038;0
0.0883489;1.85051;-2.51657e-05;0.41;1;45.8441;3;3.0243;0
0.0795621;1.08363;-6.01659e-05;0.41;578;28.2411;3;3.0243;0
0.180678;0.696893;1.08012e-05;0.41;1;43.0349;3;3.0298;0
0.198314;2.42131;-6.17195e-05;0.41;1;43.0416;3;3.0061;0
0.186696;1.11498;-2.93954e-05;0.41;535;27.2579;3;3.0061;0
0.123461;1.15153;7.65537e-05;0.41;1;39.5621;3;3.0286;0
0.196332;1.65371;9.12008e-05;0.41;1;39.4775;3;3.1769;0
0.13411;2.00985;7.19344e-06;0.41;929;34.8216;3;3.1769;0
0.117758;2.52147;-3.43246e-05;0.41;1;44.5059;3;3.0274;0
0.0758749;1.10941;-9.9208e-05;0.41;1;44.4452;3;3.0681;0
0.0987236;1.24073;-9.78308e-05;0.41;884;35.073;3;3.0681;0
0.188959;1.28432;6.05024e-05;0.41;1;45.344;3;3.0951;0
0.101284;2.40763;-3.5731e-05;0.41;1;45.3116;3;3.1854;0
0.191429;0.585792;-1.94464e-05;0.41;400;22.6545;3;3.1854;0
0.15882;0.720399;-3.55519e-05;0.41;1;36.9204;3;3.0891;0
0.0789064;1.30329;-3.95152e-05;0.41;1;36.8432;3;3.2295;0
0.208521;1.98067;-6.94081e-05;0.41;475;25.9834;3;3.2295;0
0.15081;2.08318;8.4607e-05;0.41;1;39.1795;3;3.4721;0
0.134868;0.693425;-2.74317e-05;0.41;1;39.0255;3;3.3032;0
0.164003;0.975749;-3.81115e-06;0.41;338;24.0021;3;3.3032;0
0.115536;2.47573;-9.06059e-05;0.41;1;36.4705;3;21.7733;0
0.201605;2.09193;1.85589e-05;0.41;1;36.2424;3;22.3337;0
0.208524;2.05925;-2.25047e-05;0.41;989;35.5489;3;22.3337;0
0.0912058;1.81445;8.62653e-05;0.41;1;39.7438;3;3.1564;0
0.168318;1.72852;9.60987e-05;0.41;1;39.5444;3;3.3533;0
0.0807496;0.603541;9.56369e-05;0.41;630;30.5163;3;3.3533;0
0.189468;2.3146;-8.00992e-05;0.41;1;44.2907;3;3.084;0
0.1662;2.08246;-3.04005e-05;0.41;1038;35.7632;3;3.1371;0
0.209256;1.20265;4.68045e-05;0.41;1;43.8224;3;3.0152;0
0.0944066;2.30593;-1.66188e-05;0.41;1;43.7459;3;3.1835;0
0.190911;1.48431;-9.25578e-05;0.41;796;33.5171;3;3.1835;0
0.110538;2.07364;-2.69291e-05;0.41;1;42.2553;3;3.2993;0
0.150949;2.17109;9.87628e-05;0.41;1;42.1231;3;3.5217;0
0.121417;0.885396;8.69857e-05;0.41;541;28.2405;3;3.5217;0
0.107487;1.08023;-3.34921e-05;0.41;1;42.2292;3;3.0247;0
0.164606;0.683745;2.20157e-05;0.41;1;42.2292;3;3.0247;0
0.198518;2.48953;7.4214e-05;0.41;454;26.1759;3;3.0247;0
0.0948438;2.17326;8.49216e-05;0.41;1;38.6858;3;3.0498;0
0.206995;1.4091;-3.07056e-05;0.41;1;38.651;3;3.1458;0
