tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.296452;2.1194;0;0.25;757;19.253;2.7;2.7569;0
0.367947;1.76807;0;0.25;1;24.9515;2.7;3.165;0
0.408701;1.92897;0;0.25;1;24.9236;2.7;3.2244;0
0.269522;2.07341;0;0.25;780;19.1859;2.7;3.2244;0
0.324321;2.15646;0;0.25;1;24.5646;2.7;2.9987;0
0.269404;2.0687;0;0.25;1;24.5669;2.7;2.9757;0
0.413161;2.02704;0;0.25;677;18.2364;2.7;2.9757;0
0.276933;1.94392;0;0.25;1;23.7036;2.7;2.741;0
0.374685;1.87613;0;0.25;1;23.6993;2.7;2.8371;0
0.264322;2.05081;0;0.25;941;20.7429;2.7;2.8371;0
0.311607;1.81964;0;0.25;1;25.3147;2.7;2.711;0
0.271342;1.8835;0;0.25;1;25.332;2.7;2.8536;0
0.223493;2.05865;0;0.25;1723;23.0441;2.7;2.8536;0
0.242784;2.00662;0;0.25;1;24.8764;2.7;2.8509;0
0.355025;1.95398;0;0.25;1;24.8754;2.7;3.0298;0
0.346224;2.07848;0;0.25;731;18.9739;2.7;3.0298;0
0.395643;2.07974;0;0.25;1;23.3162;2.7;2.8407;0
0.411259;1.95604;0;0.25;1;23.2905;2.7;2.9046;0
0.397494;1.95865;0;0.25;553;16.8774;2.7;2.9046;0
0.257381;1.84757;0;0.25;1;24.084;2.7;2.7082;0
0.371285;2.09051;0;0.25;1;23.7958;2.7;2.832;0
0.371778;2.03891;0;0.25;688;18.6691;2.7;2.832;0
0.293141;1.79721;0;0.25;1;22.4529;2.7;3.4429;0
0.321562;2.04549;0;0.25;1;22.5225;2.7;3.5718;0
0.30592;1.8387;0;0.25;685;18.5216;2.7;3.5718;0
0.255887;1.80177;0;0.25;1;24.4476;2.7;2.819;0
0.255313;1.82511;0;0.25;1;24.4821;2.7;2.977;0
0.385022;1.90802;0;0.25;597;17.6997;2.7;2.977;0
0.385298;1.96658;0;0.25;1;23.7339;2.7;3.3973;0
0.238052;1.83573;0;0.25;1;23.1926;2.7;3.5629;0
0.389085;1.87406;0;0.25;615;17.7504;2.7;3.5629;0
0.360125;2.09282;0;0.25;1;23.2893;2.7;2.8116;0
0.270365;1.80087;0;0.25;1;23.3218;2.7;2.8802;0
0.258436;1.9601;0;0.25;657;18.3688;2.7;2.8802;0
0.353404;2.12364;0;0.25;1;24.1951;2.7;2.74;0
0.291423;1.7699;0;0.25;1;24.1961;2.7;2.7228;0
0.402004;1.8525;0;0.25;585;17.1497;2.7;2.7228;0
0.222938;2.0961;0;0.25;1;24.7368;2.7;2.7467;0
0.346607;2.00612;0;0.25;1;24.8201;2.7;2.8521;0
0.325907;1.92006;0;0.25;589;17.7091;2.7;2.8521;0
0.283059;2.13796;0;0.25;1;24.6306;2.7;2.7054;0
0.369637;2.02073;0;0.25;1;24.6049;2.7;2.7165;0
0.257271;1.86325;0;0.25;641;18.3196;2.7;2.7165;0
0.299685;2.09988;0;0.25;1;24.2394;2.7;2.7115;0
0.222345;1.90262;0;0.25;1;24.2523;2.7;2.7187;0
0.351278;1.81298;0;0.25;617;17.9326;2.7;2.7187;0
0.286859;2.07242;0;0.25;1;23.9627;2.7;2.8823;0
0.346854;2.16676;0;0.25;1;23.9585;2.7;2.8682;0
0.307423;1.78115;0;0.25;614;18.1426;2.7;2.8682;0
0.233289;2.16069;0;0.25;1;22.4612;2.7;3.8122;0
0.304251;1.8036;0;0.25;1;22.4612;2.7;3.8122;0
0.32515;1.97085;0;0.25;675;18.9214;2.7;3.8122;0
0.314866;1.84863;0;0.25;1;25.0852;2.7;2.7731;0
0.393974;1.95533;0;0.25;1;25.0852;2.7;2.7731;0
0.237788;1.89161;0;0.25;884;20.7618;2.7;2.7731;0
0.363967;1.93478;0;0.25;1;25.85;2.7;2.7874;0
